Date,Forecast_Sales,Lower_Bound,Upper_Bound,Actual_sales,Error,APE_%
2014-01-31,14119.61800392461,12547.21254385666,15956.939728270974,14236.895,117.27699607539034,0.8237540283565365
2014-02-28,5297.214395095475,4695.550337342032,5982.617559826255,4519.892,-777.3223950954753,-17.197809042682334
2014-03-31,46863.78868430994,41297.029047397526,52716.881192427805,55691.009,8827.220315690058,15.850350845124852
2014-04-30,29526.276540364488,25954.49056842091,33160.0096827626,28295.345,-1230.9315403644869,-4.350296984767236
2014-05-31,26639.588206553748,23346.911453730198,30037.739934176934,23648.287,-2991.3012065537478,-12.649124253920583
2014-06-30,32378.49591592679,28477.17023297642,36635.98004278086,34595.1276,2216.6316840732106,6.407352242496746
2014-07-31,31930.141247667736,28081.633399206323,36046.45644622583,33946.393,2016.2517523322604,5.939516909299496
2014-08-31,27124.249403265603,24131.77930066982,30623.35590165813,27909.4685,785.2190967343959,2.813450556159448
2014-09-30,84033.7860996963,74419.39028831762,95485.03794668028,81777.3508,-2256.435299696299,-2.7592423545423763
2014-10-31,32253.102719132552,28518.590954053707,36868.21263161279,31453.393,-799.709719132552,-2.5425228977126633
2014-11-30,68882.43520898496,61388.73022267839,78235.09315233013,78628.7167,9746.281491015048,12.395320564878363
2014-12-31,80945.64989657646,71431.54338285896,91497.85346008398,69545.6205,-11400.029396576458,-16.392160016138554
2015-01-31,17776.71779112205,15708.616388476205,20142.788112872946,18174.0756,397.35780887795045,2.1863990093556693
2015-02-28,10164.83645657402,8963.394481541065,11446.213017824692,11951.411,1786.5745434259807,14.948649522855339
2015-03-31,44920.946627986996,39905.37687223445,50795.58788924446,38726.252,-6194.694627986995,-15.996111960400908
2015-04-30,32994.337802166076,29236.187697336925,37459.7617883331,34195.2085,1200.870697833925,3.511809842697479
2015-05-31,27268.504094659304,24149.806103342635,30713.68162162132,30131.6865,2863.1824053406963,9.502230833779238
2015-06-30,26902.489267752913,23711.74105536176,30372.100672286877,24797.292,-2105.197267752912,-8.489625672645674
2015-07-31,30017.86453527607,26409.860103742765,33963.16654857488,28765.325,-1252.539535276068,-4.354338201553669
2015-08-31,38887.00049123476,34586.43733840768,43847.18824977867,36898.3322,-1988.6682912347605,-5.389588560414015
2015-09-30,63494.68030465962,56281.58468574942,71695.31689276754,64595.918,1101.23769534038,1.7048100397619244
2015-10-31,31168.196001654203,27507.159832780406,35097.644007836614,31404.9235,236.72749834579736,0.7537910364462355
2015-11-30,83341.83810560693,73092.13800530887,94212.1677834624,75972.5635,-7369.27460560693,-9.699915688124609
2015-12-31,64280.493004024305,56979.97372539931,72428.54623238448,74919.5212,10639.028195975698,14.20060890081569
2016-01-31,19004.156730432347,16805.489411153812,21399.43011568866,18542.490999999998,-461.66573043234894,-2.489771899753647
2016-02-29,18982.95454963319,16885.472180292505,21421.641061305345,22978.815000000002,3995.860450366814,17.389323384895235
2016-03-31,57444.06730885013,50820.72738930762,65146.378700820555,51715.875,-5728.192308850128,-11.076274565305388
2016-04-30,37544.33961871356,33169.972090489005,42539.72113035058,38750.039,1205.6993812864384,3.1114791427343818
2016-05-31,52594.0022556535,46806.228108483854,59298.690368315714,56987.728,4393.725744346506,7.709950718418719
2016-06-30,44803.037502438936,39873.788086662666,50913.09263810406,40344.534,-4458.503502438936,-11.051072005042705
2016-07-31,40934.85308274603,36179.634812776654,46155.390194908854,39261.963,-1672.8900827460238,-4.260841677085844
2016-08-31,34326.82593138063,30376.650571170292,38951.16296347454,31115.3743,-3211.451631380627,-10.321108788270713
2016-09-30,74265.62196159485,65823.66920203116,83479.69310308622,73410.0249,-855.5970615948463,-1.1655043882090363
2016-10-31,60798.33526020063,53285.930525412434,68155.23261597047,59687.745,-1110.5902602006245,-1.8606671439851254
2016-11-30,83957.03947024961,73615.16621411938,94226.25354898356,79411.9658,-4545.073670249607,-5.72341160990326
